ID,Start,Focus 1,Focus 2,Middle,Ending 1,Ending 2,Full 1,Full 2
1,Mary likes to,read,books,but she doesn't like to,WRITE books,read MAGAZINES,"Mary likes to READ books, but she doesn't like to WRITE books","Mary likes to read BOOKS, but she doesn't like to read MAGAZINES"
2,Alice sometimes,pets,dogs,but she won't,WASH dogs,pet CATS,"Alice sometimes PETS dogs, but she won't WASH dogs","Alice sometimes pets DOGS, but she won't pet CATS"
5,Dave likes to,study,music,but he doesn't like to,PLAY music,study HISTORY,"Dave likes to STUDY music, but he doesn't like to PLAY music","Dave likes to study MUSIC, but he doesn't like to study HISTORY"
6,Sally has a,Windows,computer,but she really wants,an APPLE computer,a Windows TABLET,"Sally has a WINDOWS computer, but she really wants an APPLE computer","Sally has a Windows COMPUTER, but she really wants a Windows TABLET"
7,George asked for a,white,Americano,but the barista gave him a,BLACK Americano,white COFFEE filter,"George asked for a WHITE Americano, but the barista gave him a BLACK Americano","George asked for a white AMERICANO, but the barista gave him a white COFFEE filter"
8,Fiona was eating,strawberry,yoghurt,but she really wanted some,BLUEBERRY yoghurt,strawberry ICECREAM,"Fiona was eating STRAWBERRY yoghurt, but she really wanted some BLUEBERRY yoghurt","Fiona was eating strawberry YOGHURT, but she really wanted some strawberry ICECREAM"
9,Tom likes,barbecue,chicken,but not as much as,ROAST chicken,barebecue PORK,"Tom likes BARBECUE chicken, but not as much as ROAST chicken","Tom likes barbecue CHICKEN, but not as much as barebecue PORK"
10,Sophie likes to,paint,landscapes,but she doesn’t like to,DRAW landscapes,paint PORTRAITS,"Sophie likes to PAINT landscapes, but she doesn’t like to DRAW landscapes","Sophie likes to paint LANDSCAPES, but she doesn’t like to paint PORTRAITS"
11,John can't,run,a marathon,but he could,WALK a marathon,run a MILE,"John can't RUN a marathon, but he could WALK a marathon","John can't run A MARATHON, but he could run a MILE"
12,Matt is good at,flying,planes,but he isn't good at,LANDING planes,flying HELICOPTER S,"Matt is good at FLYING planes, but he isn't good at LANDING planes","Matt is good at flying PLANES, but he isn't good at flying HELICOPTER S"
13,Pippa found a,jam,jar,but she couldn't find a,JELLY jar,jam KNIFE,"Pippa found a JAM jar, but she couldn't find a JELLY jar","Pippa found a jam JAR, but she couldn't find a jam KNIFE"
14,Sam has a,fish,knife,but he doesn't have a,BUTTER knife,fish FORK,"Sam has a FISH knife, but he doesn't have a BUTTER knife","Sam has a fish KNIFE, but he doesn't have a fish FORK"
15,Rachel likes,French,food,but she doesn't like,ITALIAN food,French WINE,"Rachel likes FRENCH food, but she doesn't like ITALIAN food","Rachel likes French FOOD, but she doesn't like French WINE"
16,The woman likes,white,pearls,but not,BLACK pearls,white DIAMONDS,"The woman likes WHITE pearls, but not BLACK pearls","The woman likes white PEARLS, but not white DIAMONDS"
17,Ken won't buy,Sainsbury's,pizza,but he will buy,TESCO'S pizza,Sainsbury's CHICKEN,"Ken won't buy SAINSBURY'S pizza, but he will buy TESCO'S pizza","Ken won't buy Sainsbury's PIZZA, but he will buy Sainsbury's CHICKEN"
18,Sarah has a,Barclay's,card,but she doesn't have a,LLOYDS card,Barclay's MORTGAGE,"Sarah has a BARCLAY'S card, but she doesn't have a LLOYDS card","Sarah has a Barclay's CARD, but she doesn't have a Barclay's MORTGAGE"
19,Neil won't support,Oxford's,fencing team,but he will support,CAMBRIDGE'S fencing team,Oxford's ROWING team,"Neil won't support OXFORD'S fencing team, but he will support CAMBRIDGE'S fencing team","Neil won't support Oxford's FENCING TEAM, but he will support Oxford's ROWING team"
20,Carolyn likes,Scottish,pubs,but she doesn't like,ENGLISH pubs,Scottish RESTAURANTS,"Carolyn likes SCOTTISH pubs, but she doesn't like ENGLISH pubs","Carolyn likes Scottish PUBS, but she doesn't like Scottish RESTAURANTS"
21,Micah has been to,Regent's,park,but he hasn't been to,HYDE Park,Regent's STREET,"Micah has been to REGENT'S park, but he hasn't been to HYDE Park","Micah has been to Regent's PARK, but he hasn't been to Regent's STREET"
22,Rosalyn likes to,drink,beer,but she doesn't like to,BREW beer,drink LIQUOR,"Rosalyn likes to DRINK beer, but she doesn't like to BREW beer","Rosalyn likes to drink BEER, but she doesn't like to drink LIQUOR"
23,Veronica has visited,America,for holiday,but she hasn't visited,CANADA for holiday,America FOR WORK,"Veronica has visited AMERICA for holiday, but she hasn't visited CANADA for holiday","Veronica has visited America FOR HOLIDAY, but she hasn't visited America FOR WORK"
